anio,bytes,tipo,paginas,especialidad
2019,141728,mixto,13,Contencioso Adm. Laboral
2000,396902,escaneado,1,Contencioso Administrativo
2025,333118,mixto,26,Laboral
2011,70518,escaneado,4,Penal
2013,936054,escaneado,5,Penal
2023,3255973,mixto,30,Penal
2017,94277,mixto,10,Revision de Procedimiento Coactivo
2017,189999,mixto,7,Penal
2026,304682,mixto,16,Revision de Procedimiento Coactivo
2012,2362397,escaneado,8,Penal
2011,80674,escaneado,5,Penal
2016,53634,mixto,6,Revision de Procedimiento Coactivo
2025,367675,mixto,15,Penal
2007,1295757,?,4,Constitucional
2019,78177,mixto,7,Contencioso Adm. Laboral
2016,2624505,?,6,Contencioso Adm. Laboral
2018,66274,mixto,6,Civil
2022,405853,mixto,25,Penal
2017,151555,escaneado,3,Penal
2025,376467,mixto,19,Contencioso Adm. Laboral
2010,98537,nativo,4,Penal
2023,361956,mixto,22,Contencioso Adm. Previsional
2024,294613,mixto,15,Laboral
2004,4752215,?,7,Contencioso Administrativo
2024,323851,mixto,11,Penal
2011,1009762,escaneado,25,Civil
2002,270423,escaneado,5,Comercial
2012,2878267,?,7,Contencioso Adm. Laboral
2023,312048,mixto,20,Civil
2018,67344,mixto,4,Laboral
2025,321832,mixto,25,Constitucional
2024,277762,mixto,16,Constitucional
2013,1911515,escaneado,9,Penal
2018,127236,mixto,7,Penal
2019,126530,mixto,15,Laboral
2023,334953,mixto,26,Laboral
2013,4643575,?,9,Familia Civil
2005,3951728,?,9,Contencioso Administrativo
2016,1121547,escaneado,12,Penal
2017,175079,mixto,8,Penal
2017,337550,escaneado,6,Penal
2021,655662,mixto,16,Penal
2025,303191,mixto,14,Laboral
1982,528741,?,1,Civil
2014,1749466,escaneado,4,Revision de Procedimiento Coactivo
2022,298599,mixto,20,Contencioso Adm. Previsional
2023,374094,mixto,15,Penal
1998,513298,escaneado,1,Contencioso Administrativo
2025,416005,mixto,38,Constitucional
2006,2101523,?,6,Contencioso Administrativo
2010,67530,nativo,3,Penal
2013,3165812,?,7,Contencioso Adm. Laboral
2014,1563154,?,4,Laboral
2009,10807416,escaneado,22,Contencioso Administrativo
2020,80399,mixto,7,Civil
2015,5139121,?,10,Civil
2019,88517,mixto,9,Revision de Procedimiento Coactivo
2024,276311,mixto,13,Revision de Procedimiento Coactivo
2010,59306,nativo,3,Comercial
2011,132724,?,2,Penal
2013,2191137,?,5,Contencioso Administrativo
2022,377580,mixto,17,Penal
2017,79749,mixto,9,Contencioso Adm. Laboral
2001,1651075,escaneado,4,Contencioso Administrativo
2014,3554472,?,8,Contencioso Administrativo
2024,263518,mixto,13,Contencioso Administrativo
2021,327512,mixto,24,Contencioso Adm. Laboral
2018,119868,mixto,4,Penal
2015,1330224,?,3,Civil
1999,516888,escaneado,1,Contencioso Administrativo
2024,284196,mixto,16,Contencioso Adm. Previsional
2019,191477,mixto,7,Penal
2018,73635,mixto,8,Revision de Procedimiento Coactivo
2021,490563,mixto,31,Penal
2014,7216111,?,16,Contencioso Adm. Laboral
2019,92714,mixto,9,Revision de Procedimiento Coactivo
2020,63588,mixto,4,Laboral
2023,136204,mixto,15,Contencioso Adm. Laboral
2025,370003,mixto,32,Laboral
2012,167371,escaneado,9,Penal
2018,125446,mixto,5,Penal
2016,2691392,?,8,Penal
2012,1781897,?,4,Contencioso Adm. Previsional
2025,721763,mixto,23,Contencioso Adm. Laboral
2008,1083165,?,3,Constitucional
2003,1054760,?,2,Contencioso Administrativo
2020,291070,mixto,16,Laboral
2022,283378,mixto,13,Laboral
2021,289849,mixto,14,Revision de Procedimiento Coactivo
2024,406386,mixto,18,Penal
2019,173544,mixto,7,Penal
2022,386746,mixto,14,Penal
2024,290582,mixto,15,Laboral
2018,245131,mixto,40,Contencioso Administrativo
2022,297465,mixto,19,Contencioso Administrativo
2017,90763,mixto,11,Civil
2026,352298,mixto,15,Penal
2023,275934,mixto,15,Laboral
2020,359170,mixto,28,Civil
2016,86911,mixto,10,Contencioso Adm. Laboral
2022,293344,mixto,17,Revision de Procedimiento Coactivo
2021,367717,mixto,26,Laboral
2019,145203,mixto,9,Penal
2014,15716682,?,37,Civil
2015,4636989,?,10,Contencioso Adm. Previsional
2026,517907,mixto,47,Penal
2015,557878,escaneado,6,Penal
2012,58929,escaneado,3,Penal
2023,322633,mixto,20,Laboral
